text_original,text_cleaned,text_lemmatized,text_stemmed,sentiment,sentiment_label,url_count,mention_count,hashtag_count,hashtags,user,vader_score,textblob_score,avg_sentiment,sentiment_category
aaaaand back to my literature review  At least i have a friendly cup of coffee to keep me company.,aaaaand back to my literature review at least i have a friendly cup of coffee to keep me company,aaaaand back literature review least friendly cup coffee keep company,aaaaand back literatur review least friendli cup coffe keep compani,0,Negative,0,0,0,,mishkia,0.4939,0.025000000000000005,0.25945,Positive
good morning everybody! pkoi y fais pas beau  bon coffee time!,good morning everybody pkoi y fais pas beau bon coffee time,good morning everybody pkoi fais pa beau bon coffee time,good morn everybodi pkoi fai pa beau bon coffe time,0,Negative,0,0,0,,StrAbZ,0.5399,1.0,0.76995,Positive
Morning everyone! In serious need of some decent coffee.. why isn't the catering open yet at 08.30? ,morning everyone in serious need of some decent coffee why isnt the catering open yet at,morning everyone serious need decent coffee isnt catering open yet,morn everyon seriou need decent coffe isnt cater open yet,0,Negative,0,0,0,,jeffsimons,-0.1511,-0.05555555555555555,-0.10332777777777778,Negative
woke up at 6am  far too early...more coffee then,woke up at am far too earlymore coffee then,woke far earlymore coffee,woke far earlymor coffe,0,Negative,0,0,0,,bookshopgirl212,0.0,0.1,0.05,Neutral
"Morning twitterati...... Large coffee and a bath on top of todays list, first appt 10am then loads of desk work. ",morning twitterati large coffee and a bath on top of todays list first appt am then loads of desk work,morning twitterati large coffee bath top today list first appt load desk work,morn twitterati larg coffe bath top today list first appt load desk work,0,Negative,0,0,0,,RichardFWatson,0.2023,0.32142857142857145,0.2618642857142857,Positive
@icedcoffee they end up back as read only ... and still the error persists. I cant add anything to the library now   so cant update my ...,they end up back as read only and still the error persists i cant add anything to the library now so cant update my,end back read still error persists cant add anything library cant update,end back read still error persist cant add anyth librari cant updat,0,Negative,0,1,0,,elfinamsterdam,-0.4019,0.0,-0.20095,Negative
"@TXBrad I need Coffee, lol, I saw you tweet this on McInTEC Net lol  it comes up before Mibbit, Mibbit is so slow on Twitter, it sucks ",i need coffee lol i saw you tweet this on mcintec net lol it comes up before mibbit mibbit is so slow on twitter it sucks,need coffee lol saw tweet mcintec net lol come mibbit mibbit slow twitter suck,need coffe lol saw tweet mcintec net lol come mibbit mibbit slow twitter suck,0,Negative,0,1,0,,DCBTV,0.4767,0.2,0.33835000000000004,Positive
"Coffee &amp; Carrot Cake Slices... Mmm, still lost for ideas for art    help!",coffee amp carrot cake slices mmm still lost for ideas for art help,coffee amp carrot cake slice mmm still lost idea art help,coffe amp carrot cake slice mmm still lost idea art help,0,Negative,0,0,0,,Dirujan,0.1759,0.0,0.08795,Positive
@jason_2008 Hello! Im out of coffee this morning..that's what i get for winding you up yesterday!!! Lol  Have a good day!,hello im out of coffee this morningthats what i get for winding you up yesterday lol have a good day,hello im coffee morningthats get winding yesterday lol good day,hello im coffe morningthat get wind yesterday lol good day,0,Negative,0,1,0,,VioletsCRUK,0.7825,0.8375,0.81,Positive
I am having my coffee.  I see frost on the car windows   I suspected there would be some this am.  I hope I am not so tired today.,i am having my coffee i see frost on the car windows i suspected there would be some this am i hope i am not so tired today,coffee see frost car window suspected would hope tired today,coffe see frost car window suspect would hope tire today,0,Negative,0,0,0,,ArtsyTwinCat,0.616,-0.4,0.10799999999999998,Positive
Someone (@Ratsofatsorat) left a few sips of mocha in the reusable coffee mug.   Last week.  Now it's chunky ,someone left a few sips of mocha in the reusable coffee mug last week now its chunky,someone left sip mocha reusable coffee mug last week chunky,someon left sip mocha reusabl coffe mug last week chunki,0,Negative,0,1,0,,heycaryn,0.0,-0.06666666666666667,-0.03333333333333333,Neutral
"I went to get a coffee but the kids got to the milk before I did, now I have a can of coke instead ",i went to get a coffee but the kids got to the milk before i did now i have a can of coke instead,went get coffee kid got milk coke instead,went get coffe kid got milk coke instead,0,Negative,0,0,0,,ArsenalSarah,0.0,0.0,0.0,Neutral
